               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061247,            0.023468,            0.030423,              0.5811,             0.57664,             0.38216,             0.16944,            0.039642,            0.008111,            0.027417,           0.0033125,           0.0033125,            0.070187
                   1,            0.044884,            0.014054,            0.012775,             0.72704,             0.55081,             0.53803,             0.32425,            0.026483,           0.0069702,            0.018886,           0.0066239,           0.0066239,            0.040166
                   2,             0.04146,            0.013828,            0.012027,             0.64635,             0.37673,             0.39774,              0.2128,            0.038586,            0.011206,            0.054032,           0.0099133,           0.0099133,            0.010122
                   3,            0.038019,            0.014162,            0.013703,             0.76936,             0.44914,             0.54513,              0.3232,            0.030045,           0.0083948,            0.025043,            0.009901,            0.009901,            0.009901
                   4,            0.034652,            0.013856,            0.011059,             0.77161,             0.52543,             0.54882,             0.33147,            0.032475,            0.009649,            0.017772,            0.009901,            0.009901,            0.009901
                   5,            0.031987,            0.012687,           0.0088691,             0.69661,             0.40292,             0.44927,             0.29704,            0.026008,           0.0085955,            0.070101,            0.009868,            0.009868,            0.009868
                   6,            0.031085,            0.012528,           0.0083775,             0.79358,             0.58623,             0.61301,             0.39399,            0.023401,           0.0060962,            0.035068,            0.009835,            0.009835,            0.009835
                   7,            0.029607,              0.0121,           0.0073938,             0.70554,             0.77046,             0.84562,             0.57555,            0.019221,           0.0052814,           0.0056411,            0.009802,            0.009802,            0.009802
                   8,            0.028931,            0.011637,           0.0064341,             0.84444,             0.73962,             0.82757,             0.56132,             0.02001,           0.0056272,           0.0053859,            0.009769,            0.009769,            0.009769
                   9,            0.028772,            0.011735,           0.0072237,             0.92691,             0.65034,             0.80828,             0.58705,            0.018179,           0.0055641,            0.008395,            0.009736,            0.009736,            0.009736
                  10,            0.027787,            0.011739,            0.006637,             0.64209,             0.73527,             0.73548,             0.53248,             0.01815,           0.0053619,            0.015399,            0.009703,            0.009703,            0.009703
                  11,            0.027112,            0.011295,           0.0060185,             0.73096,             0.81635,             0.84454,              0.5497,            0.017347,           0.0051411,            0.056001,             0.00967,             0.00967,             0.00967
                  12,            0.026649,            0.011137,           0.0056403,             0.80735,             0.90302,              0.9167,              0.6262,            0.017054,           0.0051485,           0.0089251,            0.009637,            0.009637,            0.009637
